mosaic_id,uri,uri_etag,byte_size,crs,srid,pixel_width,pixel_height,band_count,dtype,nodata,footprint,acquired_at,created_at
0854b5d2-2ea2-5f2d-b825-0cd69e853390,/home/rhea/A/Norman_Samples/2023_02_26_Norman_OK_S2-07_ERIK2.tif,,2468928918,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,16192,12706,3,Float32,-32767.0,"SRID=4326;POLYGON((-97.36387145 35.22360880,-97.34881084 35.22360880,-97.34881084 35.21391044,-97.36387145 35.21391044,-97.36387145 35.22360880))",,2026-02-23T11:06:25.528151
5a2ac373-68bc-51e0-b17d-0f11ee9afd27,/home/rhea/A/Norman_Samples/2023_02_26_Norman_OK_S2-07_NDVI.tif,,823018938,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,16192,12706,1,Float32,-32767.0,"SRID=4326;POLYGON((-97.36387145 35.22360880,-97.34881084 35.22360880,-97.34881084 35.21391044,-97.36387145 35.21391044,-97.36387145 35.22360880))",,2026-02-23T11:06:25.528806
ddec6859-38ad-5640-a820-89b6aa6c3533,/home/rhea/A/Norman_Samples/2023_02_26_Norman_OK_S2-07_ortho.tif,,4937658689,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,16192,12706,6,Float32,-32767.0,"SRID=4326;POLYGON((-97.36387145 35.22360880,-97.34881084 35.22360880,-97.34881084 35.21391044,-97.36387145 35.21391044,-97.36387145 35.22360880))",,2026-02-23T11:06:25.529401
b07d6320-d6ae-5e1e-b32d-adaf179c1589,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_BGR.tif,,3827807202,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,3,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212276 35.27080186,-97.30212276 35.25699110,-97.31912651 35.25699110,-97.31912651 35.27080186))",,2026-02-23T11:06:25.530083
4998bd07-bf3b-5b87-93ce-1b7d1da8b6a9,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_CHM.tif,,1276030709,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,1,Float32,3.4028234663852886e+38,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212256 35.27080186,-97.30212256 35.25699093,-97.31912651 35.25699093,-97.31912651 35.27080186))",,2026-02-23T11:06:25.530740
d156477e-f896-5a99-952e-8f83a8b916ca,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_DEM.tif,,586268308,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,1,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212256 35.27080186,-97.30212256 35.25699093,-97.31912651 35.25699093,-97.31912651 35.27080186))",,2026-02-23T11:06:25.531756
77b73749-9aaf-5639-8361-e0c6145d3365,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_DSM.tif,,575793761,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,1,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212256 35.27080186,-97.30212256 35.25699093,-97.31912651 35.25699093,-97.31912651 35.27080186))",,2026-02-23T11:06:25.533871
e8c08716-8551-536d-8155-c82b45724113,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_ERIK.tif,,3827807202,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,3,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212276 35.27080186,-97.30212276 35.25699110,-97.31912651 35.25699110,-97.31912651 35.27080186))",,2026-02-23T11:06:25.534515
0929d4a2-5dab-53fe-baa3-3b128d9f3bf1,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_NDVI.tif,,1276030802,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,1,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212276 35.27080186,-97.30212276 35.25699110,-97.31912651 35.25699110,-97.31912651 35.27080186))",,2026-02-23T11:06:25.535950
ecc41d30-efb6-58ac-b032-ed8df058cbdb,/home/rhea/A/Norman_Samples/2023_02_28_Norman_OK_S1-13_ortho.tif,,7655336081,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,17947,17773,6,Float32,-32767.0,"SRID=4326;POLYGON((-97.31912651 35.27080186,-97.30212276 35.27080186,-97.30212276 35.25699110,-97.31912651 35.25699110,-97.31912651 35.27080186))",,2026-02-23T11:06:25.536597
