mosaic_id,uri,uri_etag,byte_size,crs,srid,pixel_width,pixel_height,band_count,dtype,nodata,footprint,acquired_at,created_at
40b4d780-045e-55b6-bf1b-2b4777aa7ed4,/home/rhea/../rhea/dev/legacy/wirlwind_local/pipeline/in/240701_unk.tif,,1358204,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,589,768,3,Byte,0.0,"SRID=4326;POLYGON((-96.57832611 44.82620304,-96.43548586 44.82308290,-96.44134496 44.69055312,-96.58385966 44.69365895,-96.57832611 44.82620304))",2024-07-01,2026-02-28T12:14:42.661241
8c9f86aa-0ef8-5d22-bce5-1dc1d62c08a0,/home/rhea/../rhea/.local/share/mozilla/downloads/gis/DiiGeodata-_2025_06_20_Enderlin_ND_ColorBalance_COG_0.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",,2026-02-28T12:14:43.063660
6bd02274-5dca-5463-a8a2-4bb46bf735fb,/home/rhea/../rhea/.local/share/Trash/files/clrlk.tiff,,15344752,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,1998,1998,4,Byte,,"SRID=4326;POLYGON((-96.76433330 44.80060231,-96.76401317 44.80060231,-96.76401317 44.80028218,-96.76433330 44.80028218,-96.76433330 44.80060231))",,2026-02-28T12:14:44.678433
97d90835-039a-5980-9c64-c06726becbc5,/home/rhea/../rhea/.local/share/Trash/files/data_/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-28T12:14:44.726368
0e9b9ee3-f404-5c72-8c43-99464537915d,/home/rhea/../rhea/.local/share/Trash/files/data_1/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-28T12:14:44.733089
d1754bd3-64a6-5e2b-b46b-7f4348ed3da8,/home/rhea/../rhea/.local/share/Trash/files/data_1/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-28T12:14:44.733379
75142799-8193-55ca-8edf-2357f6162831,/home/rhea/../rhea/.local/share/Trash/files/data_1/test/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-28T12:14:44.743058
3205eac7-05f4-5615-94dc-b58bae5446bf,/home/rhea/../rhea/.local/share/Trash/files/data_1/test/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-28T12:14:44.743346
5d648d03-30e3-5ba1-806d-d41a25184ca7,/home/rhea/../rhea/.local/share/Trash/files/data_1/other/240701_unk.tif,,1358204,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,589,768,3,Byte,0.0,"SRID=4326;POLYGON((-96.57832611 44.82620304,-96.43548586 44.82308290,-96.44134496 44.69055312,-96.58385966 44.69365895,-96.57832611 44.82620304))",2024-07-01,2026-02-28T12:14:44.743887
1662f3c7-746f-574e-b557-93c9933950a4,/home/rhea/../rhea/.local/share/Trash/files/data_/data/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-28T12:14:45.356941
f2eaeb9e-6e72-5db6-8fa6-dc0740a3b666,/home/rhea/../rhea/.local/share/Trash/files/data_/data/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-28T12:14:45.357247
f1c388a8-fa01-5dfa-8fdd-4ea238199235,/home/rhea/../rhea/.local/share/Trash/files/data_/data/test/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-28T12:14:45.357773
64f2df33-77f2-5a38-ad36-1423e8ebdde1,/home/rhea/../rhea/.local/share/Trash/files/data_/data/test/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-28T12:14:45.358047
563621c6-cc2f-5eb4-b3e5-8fc8b70d6494,/home/rhea/../rhea/.local/share/Trash/files/data_/data/other/240701_unk.tif,,1358204,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,589,768,3,Byte,0.0,"SRID=4326;POLYGON((-96.57832611 44.82620304,-96.43548586 44.82308290,-96.44134496 44.69055312,-96.58385966 44.69365895,-96.57832611 44.82620304))",2024-07-01,2026-02-28T12:14:45.358582
f354ae15-5706-56a0-b772-3a25ef4a17f7,/home/rhea/../rhea/.local/share/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tiff-0.6.1/tests/decodedata-rgb-3c-8b.tiff,,30180,,,100,100,3,Byte,,,,2026-02-28T12:14:48.075908
944a4073-db74-5707-83ed-1d0bc88617ed,/home/rhea/../rhea/.local/share/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tiff-0.6.1/tests/benches/kodim07-lzw.tif,,643034,,,768,512,3,Byte,,,,2026-02-28T12:14:48.076269
2b4d2463-0e32-5cfa-b3bd-cafe09e12984,/home/rhea/../rhea/.local/share/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tiff-0.6.1/tests/benches/kodim02-lzw.tif,,726638,,,768,512,3,Byte,,,,2026-02-28T12:14:48.076402
2ebeb189-7628-57b4-92f6-0bfdc303ea48,/home/rhea/../rhea/.local/share/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/tiff-0.6.1/tests/benches/Transparency-lzw.tif,,6158,,,300,300,4,Byte,,,,2026-02-28T12:14:48.076539
