mosaic_id,uri,uri_etag,byte_size,crs,srid,pixel_width,pixel_height,band_count,dtype,nodata,footprint,acquired_at,created_at
f7c499a6-92e1-5b57-b70f-72661f9da5c4,/home/rhea/dev/wirlwind_local/data/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-05T11:29:01.926504
482f28d8-58d3-5c6c-9991-886c9a103e04,/home/rhea/dev/wirlwind_local/data/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-05T11:29:01.928693
9655303c-6f23-5184-88fb-923936b4f1ba,/home/rhea/dev/wirlwind_local/data/test/250620_end_rgb.tif,,1607036,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,697,768,3,Byte,0.0,"SRID=4326;POLYGON((-97.60075357 46.73105873,-97.38232551 46.72817887,-97.38724843 46.56282362,-97.60501233 46.56568700,-97.60075357 46.73105873))",2025-06-20,2026-02-05T11:29:01.929694
35155bc5-7236-5f5b-aba7-fa90dba1e458,/home/rhea/dev/wirlwind_local/data/test/250620_end_rgbs1.tif,,1464060,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]]",4326,768,635,3,Byte,0.0,"SRID=4326;POLYGON((-97.54647350 46.68348137,-97.52672933 46.68348137,-97.52672933 46.66713103,-97.54647350 46.66713103,-97.54647350 46.68348137))",2025-06-20,2026-02-05T11:29:01.930095
3af2f9eb-9d76-5724-9942-f2dda24a258a,/home/rhea/dev/wirlwind_local/data/other/240701_unk.tif,,1358204,"PROJCS[""WGS 84 / UTM zone 14N"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-99],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""EPSG"",""32614""]]",32614,589,768,3,Byte,0.0,"SRID=4326;POLYGON((-96.57832611 44.82620304,-96.43548586 44.82308290,-96.44134496 44.69055312,-96.58385966 44.69365895,-96.57832611 44.82620304))",2024-07-01,2026-02-05T11:29:01.930823
